Department,Crse,Title,Days,Time,Act,Instructor,Location,Type
CE,34300,Elementary Hydraulics Laboratory,R,02:30 pm-05:20 pm,19,"Cary D Troy (P), Meenu Ramadas",HAMP B115F,Laboratory
CE,35000,Introduction To Environmental And Ecological Engineering,MF,09:30 am-10:20 am,80,Ernest Rowland Blatchley (P),MATH 175,Lecture
CE,35000,Introduction To Environmental And Ecological Engineering,W,09:30 am-10:20 am,57,Ernest Rowland Blatchley (P),HIKS G980D,Recitation
CE,35000,Introduction To Environmental And Ecological Engineering,W,10:30 am-11:20 am,23,Ernest Rowland Blatchley (P),HIKS G980D,Recitation
CE,35500,Engineering Environmental Sustainability,MWF,11:30 am-12:20 pm,55,Loring F Nies (P),HIKS B848,Lecture
CE,36100,Transportation Engineering,TR,12:00 pm-01:15 pm,78,Fred Laires Mannering (P),HAMP 1144,Lecture
CE,37100,Structural Analysis I,MWF,08:30 am-09:20 am,61,Ayhan Irfanoglu (P),HAMP 1144,Lecture
CE,38300,Geotechnical Engineering I,MW,03:30 pm-04:20 pm,67,Philippe L Bourdeau (P),HAMP 1144,Lecture
CE,38300,Geotechnical Engineering I,F,03:30 pm-04:20 pm,67,Philippe L Bourdeau (P),HAMP 1144,Laboratory Preparation
CE,38300,Geotechnical Engineering I,T,09:30 am-11:20 am,16,Anuj Choudhari (P),HAMP G150A,Laboratory
CE,38300,Geotechnical Engineering I,T,03:30 pm-05:20 pm,18,Yu-chung Lin (P),HAMP G150A,Laboratory
CE,38300,Geotechnical Engineering I,R,09:30 am-11:20 am,15,Anuj Choudhari (P),HAMP G150A,Laboratory
CE,38300,Geotechnical Engineering I,R,03:30 pm-05:20 pm,18,Yu-chung Lin (P),HAMP G150A,Laboratory
