Department,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Type
ECE,36400,4,PWL,0,Software Engineering Tools Laboratory,T,01:30 pm-03:20 pm,21,23,-2,0,0,0,0,0,0,"Mariam Zaim (P), Ahmad A Gheith , Mark Casey Johnson",01/12-05/02,EE 206,Laboratory
ECE,36400,6,PWL,0,Software Engineering Tools Laboratory,R,09:30 am-11:20 am,21,13,8,0,0,0,0,0,0,"Venkata Krishna Chaithanya Manam (P), Ahmad A Gheith , Mark Casey Johnson",01/12-05/02,EE 206,Laboratory
ECE,36400,7,PWL,0,Software Engineering Tools Laboratory,T,03:30 pm-05:20 pm,21,18,3,0,0,0,0,0,0,"Venkata Krishna Chaithanya Manam (P), Ahmad A Gheith , Mark Casey Johnson",01/12-05/02,EE 206,Laboratory
ECE,36800,1,PWL,3,Data Structures,TR,03:00 pm-04:15 pm,150,109,41,0,0,0,0,0,0,Arif Ghafoor (P),01/12-05/02,ME 1061,Lecture
ECE,36900,1,PWL,3,Discrete Mathematics For Computer Engineering,TR,10:30 am-11:45 am,55,70,-15,0,0,0,0,0,0,Saurabh Bagchi (P),01/12-05/02,EE 270,Lecture
ECE,37900,5,PWL,1,Junior Participation In Vertically Integrated Projects (VIP) In Electrical And Computer Engineering,W,05:30 pm-06:20 pm,90,5,85,0,0,0,90,107,-17,"Jan P Allebach (P), Alexander William Layton , Chun-Jung Tai , Ni Yan",01/12-01/18,EE 129,Lecture
ECE,37900,6,PWL,2,Junior Participation In Vertically Integrated Projects (VIP) In Electrical And Computer Engineering,W,05:30 pm-06:20 pm,90,26,64,0,0,0,90,107,-17,"Jan P Allebach (P), Alexander William Layton , Chun-Jung Tai , Ni Yan",01/12-01/18,EE 129,Lecture
ECE,38200,1,PWL,3,Feedback System Analysis And Design,MWF,09:30 am-10:20 am,90,83,7,0,0,0,0,0,0,Chun-Sing George Lee (P),01/12-05/02,MSEE B012,Lecture
ECE,40000,1,PWL,1,Professional Development And Career Guidance,R,12:30 pm-01:20 pm,162,137,25,0,0,0,0,0,0,David J Love (P),01/12-05/02,EE 170,Lecture
ECE,40020,1,PWL,3,Sound Reinforcement System Design,TR,09:00 am-10:15 am,20,20,0,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,MSEE 184,Lecture
ECE,40200,1,PWL,3,Electrical Engineering Design Projects,M,04:30 pm-05:20 pm,80,71,9,0,0,0,84,74,10,"Matthew A Swabey (P), Barrett Frank Robinson",01/12-05/02,EE 270,Lecture
ECE,40200,2,PWL,0,Electrical Engineering Design Projects,TR,07:30 am-10:20 am,20,15,5,0,0,0,0,0,0,"John Anthony Nyenhuis (P), Jungu Choi , Barrett Frank Robinson , Matthew A Swabey",01/12-05/02,EE 159,Laboratory
ECE,40200,3,PWL,0,Electrical Engineering Design Projects,WF,11:30 am-02:20 pm,20,13,7,0,0,0,0,0,0,"Edward John Delp (P), Jose D Esquitin Hinzpeter , Barrett Frank Robinson , Matthew A Swabey",01/12-05/02,EE 159,Laboratory
ECE,40200,7,PWL,0,Electrical Engineering Design Projects,TR,02:30 pm-05:20 pm,20,19,1,0,0,0,0,0,0,"Jianghai Hu (P), Alice Jou , Barrett Frank Robinson , Matthew A Swabey",01/12-05/02,EE 159,Laboratory
ECE,40200,8,PWL,0,Electrical Engineering Design Projects,TR,11:30 am-02:20 pm,20,14,6,0,0,0,0,0,0,"John Anthony Nyenhuis (P), Barrett Frank Robinson , Hengying Shan , Matthew A Swabey",01/12-05/02,EE 159,Laboratory
ECE,40200,10,PWL,0,Electrical Engineering Design Projects,WF,12:30 pm-03:20 pm,0,4,-4,0,0,0,0,0,0,"Matthew A Swabey (P), Barrett Frank Robinson",01/12-05/02,EE 159,Laboratory
ECE,40200,11,PWL,0,Electrical Engineering Design Projects,TR,01:30 pm-04:20 pm,0,3,-3,0,0,0,0,0,0,"Matthew A Swabey (P), Barrett Frank Robinson",01/12-05/02,EE 159,Laboratory
ECE,40200,12,PWL,3,Electrical Engineering Design Projects,M,04:30 pm-05:20 pm,0,3,-3,0,0,0,0,0,0,"Matthew A Swabey (P), Barrett Frank Robinson",01/12-05/02,EE 270,Lecture
